pred	label	taskA	taskB	codeA	tutor	instid	codeBa	codeBb	codeBc	codeBd	codeBe	codeBf	codeBg	codeBh	codeBi	codeBj
1	1	hoc18	hoc18b	9	TutorSS2	27	134	33	30	26	147	164	50	29	34	31
1	1	hoc18	hoc18b	9	TutorSS3	27	134	33	30	26	147	164	50	29	34	31
1	1	hoc18	hoc18b	9	TutorSS1	27	134	33	30	26	147	164	50	29	34	31
9	9	hoc18	hoc18b	4	TutorSS3	28	30	25	35	137	50	33	160	159	26	28
9	9	hoc18	hoc18b	4	TutorSS1	28	30	25	35	137	50	33	160	159	26	28
9	9	hoc18	hoc18b	4	TutorSS2	28	30	25	35	137	50	33	160	159	26	28
6	6	hoc18	hoc18b	5	TutorSS1	29	30	26	166	136	165	28	29	33	50	25
6	6	hoc18	hoc18b	5	TutorSS3	29	30	26	166	136	165	28	29	33	50	25
6	6	hoc18	hoc18b	5	TutorSS2	29	30	26	166	136	165	28	29	33	50	25

5	5	hoc18	hoc18c	6	TutorSS3	30	174	45	47	204	51	42	38	46	43	208
8	5	hoc18	hoc18c	6	TutorSS1	30	174	45	47	204	51	42	38	46	43	208
5	5	hoc18	hoc18c	6	TutorSS2	30	174	45	47	204	51	42	38	46	43	208
9	8	hoc18	hoc18c	1	TutorSS2	31	173	41	40	186	42	44	45	195	37	51
3	8	hoc18	hoc18c	1	TutorSS3	31	173	41	40	186	42	44	45	195	37	51
8	8	hoc18	hoc18c	1	TutorSS1	31	173	41	40	186	42	44	45	195	37	51
6	6	hoc18	hoc18c	8	TutorSS2	32	210	47	40	43	39	36	44	202	51	176
1	6	hoc18	hoc18c	8	TutorSS1	32	210	47	40	43	39	36	44	202	51	176
6	6	hoc18	hoc18c	8	TutorSS3	32	210	47	40	43	39	36	44	202	51	176
4	4	hoc18	hoc18c	9	TutorSS2	33	40	44	51	42	45	47	43	196	211	176
4	4	hoc18	hoc18c	9	TutorSS1	33	40	44	51	42	45	47	43	196	211	176
4	4	hoc18	hoc18c	9	TutorSS3	33	40	44	51	42	45	47	43	196	211	176
1	1	hoc18	hoc18c	4	TutorSS3	34	43	40	38	51	42	174	202	39	198	41
1	1	hoc18	hoc18c	4	TutorSS2	34	43	40	38	51	42	174	202	39	198	41
1	1	hoc18	hoc18c	4	TutorSS1	34	43	40	38	51	42	174	202	39	198	41
2	2	hoc18	hoc18c	5	TutorSS1	35	44	37	41	186	178	45	46	205	51	42
2	2	hoc18	hoc18c	5	TutorSS3	35	44	37	41	186	178	45	46	205	51	42
2	2	hoc18	hoc18c	5	TutorSS2	35	44	37	41	186	178	45	46	205	51	42
