code	code_idx	task	mis	notes	stu_id
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_left', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}, {'type': 'turn_left'}]}]}	44	hoc18c	3.0	stu	stu9
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}]}]}	45	hoc18c	4.0	stu	stu10
{'type': 'run', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}, {'type': 'move'}, {'type': 'turn_left'}]}	46	hoc18c	5.0	stu	stu11
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}]}	47	hoc18c	6.0	stu	stu12
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}]}]}	48	hoc18		sol	solution
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_right'}]}]}]}]}	49	hoc18a		sol	solution
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'while', 'children': [{'type': 'ifelse bool_path_right', 'children': [{'type': 'do', 'children': [{'type': 'turn_right'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}]}	50	hoc18b		sol	solution
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_left', 'children': [{'type': 'do', 'children': [{'type': 'turn_left'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}]}	51	hoc18c		sol	solution
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}]}]}	52	hoc18		edit_2	rand1
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_right', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}, {'type': 'move'}]}]}	53	hoc18		edit_2	rand2
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}, {'type': 'turn_left'}]}]}	54	hoc18		edit_2	rand3
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}, {'type': 'turn_left'}]}]}]}]}	55	hoc18		edit_2	rand4
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}, {'type': 'turn_right'}]}]}	56	hoc18		edit_2	rand5
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}, {'type': 'move'}, {'type': 'turn_right'}]}]}	57	hoc18		edit_2	rand6
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'move'}, {'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}, {'type': 'turn_left'}]}]}	58	hoc18		edit_2	rand7
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'while', 'children': [{'type': 'move'}, {'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}]}]}	59	hoc18		edit_2	rand8
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}]}]}	60	hoc18		edit_2	rand9
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}, {'type': 'move'}]}]}]}]}	61	hoc18		edit_2	rand10
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}, {'type': 'move'}]}]}]}	62	hoc18		only_if	rand11
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}, {'type': 'turn_right'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}]}	63	hoc18		only_if	rand12
{'type': 'run', 'children': [{'type': 'ifelse bool_path_left', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}, {'type': 'move'}]}]}]}	64	hoc18		only_if	rand13
{'type': 'run', 'children': [{'type': 'turn_left'}, {'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'turn_left'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}]}	65	hoc18		only_if	rand14
{'type': 'run', 'children': [{'type': 'ifelse bool_path_right', 'children': [{'type': 'do', 'children': [{'type': 'turn_right'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}]}	66	hoc18		only_if	rand15
{'type': 'run', 'children': [{'type': 'ifelse bool_path_right', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}, {'type': 'move'}]}	67	hoc18		only_if	rand16
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'turn_right'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}]}	68	hoc18		only_if	rand17
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'ifelse bool_path_right', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}]}	69	hoc18		only_if	rand18
{'type': 'run', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'turn_left'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}, {'type': 'turn_left'}]}	70	hoc18		only_if	rand19
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}]}	71	hoc18		only_if	rand20
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}]}]}	72	hoc18		only_while	rand21
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'while', 'children': [{'type': 'turn_left'}]}]}	73	hoc18		only_while	rand22
{'type': 'run', 'children': [{'type': 'turn_left'}, {'type': 'while', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}]}]}	74	hoc18		only_while	rand23
{'type': 'run', 'children': [{'type': 'turn_left'}, {'type': 'while', 'children': [{'type': 'move'}, {'type': 'turn_right'}]}]}	75	hoc18		only_while	rand24
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'while', 'children': [{'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}]}]}	76	hoc18		only_while	rand25
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}]}]}	77	hoc18		only_while	rand26
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'move'}]}]}	78	hoc18		only_while	rand27
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}]}]}	79	hoc18		only_while	rand28
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'while', 'children': [{'type': 'move'}]}]}	80	hoc18		only_while	rand29
{'type': 'run', 'children': [{'type': 'turn_left'}, {'type': 'while', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_left'}]}]}	81	hoc18		only_while	rand30
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}]}	82	hoc18		basic_actions	rand31
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'move'}]}	83	hoc18		basic_actions	rand32
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}]}	84	hoc18		basic_actions	rand33
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}]}	85	hoc18		basic_actions	rand34
{'type': 'run', 'children': [{'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'move'}]}	86	hoc18		basic_actions	rand35
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}]}	87	hoc18		basic_actions	rand36
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_left'}]}	88	hoc18		basic_actions	rand37
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}]}	89	hoc18		basic_actions	rand38
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'turn_right'}]}	90	hoc18		basic_actions	rand39
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}]}	91	hoc18		basic_actions	rand40
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'while', 'children': [{'type': 'ifelse bool_path_left', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_right'}]}]}]}]}	92	hoc18a		edit_2	rand41
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'turn_right'}]}, {'type': 'else', 'children': [{'type': 'turn_right'}]}]}]}]}	93	hoc18a		edit_2	rand42
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'turn_right'}]}, {'type': 'else', 'children': [{'type': 'turn_right'}]}]}, {'type': 'move'}]}]}	94	hoc18a		edit_2	rand43
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}]}	95	hoc18a		edit_2	rand44
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}, {'type': 'turn_left'}]}]}	96	hoc18a		edit_2	rand45
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_right'}]}]}]}]}	97	hoc18a		edit_2	rand46
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'move'}, {'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_right'}]}]}, {'type': 'move'}]}]}	98	hoc18a		edit_2	rand47
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_right', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_right'}, {'type': 'turn_left'}]}]}]}]}	99	hoc18a		edit_2	rand48
